WKT,id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
"POLYGON ((174.7397822833 -36.848719,174.73980775 -36.8488992333,174.7396374333 -36.8489134,174.73961215 -36.8487329333,174.7397822833 -36.848719))",5255253,,,Road,Primary,,North Auckland,,,307
"POLYGON ((174.7393395833 -36.84893775,174.7390683167 -36.8489599167,174.7390402333 -36.84877975,174.739312 -36.8487574667,174.7394558167 -36.8487459167,174.73961215 -36.8487329333,174.7396374333 -36.8489134,174.7394891333 -36.84892525,174.7393395833 -36.84893775))",5214402,,,Road,Primary,,North Auckland,,,1030
"POLYGON ((174.7398939333 -36.8494583167,174.7399218333 -36.8496201333,174.7397546 -36.8496448833,174.73973695 -36.8495346667,174.73972585 -36.84947235,174.7398939333 -36.8494583167))",5255276,,,Road,Primary,,North Auckland,,,282
"POLYGON ((174.7396658167 -36.8490873333,174.7396374333 -36.8489134,174.73980775 -36.8488992333,174.7398349833 -36.8490722,174.7398435667 -36.8491269167,174.7398536 -36.8492004167,174.7398673333 -36.8492882167,174.7398810833 -36.8493761333,174.7398939333 -36.8494583167,174.73972585 -36.84947235,174.7397176167 -36.8494191167,174.7397003667 -36.8493092167,174.73968315 -36.8491989667,174.7396658167 -36.8490873333))",5217529,,,Road,Primary,,North Auckland,,,946
"POLYGON ((174.7403327667 -36.8494196333,174.74039835 -36.8494137,174.7404593333 -36.8494081333,174.7405884333 -36.8493970833,174.7407151333 -36.8493862333,174.740842 -36.8493753167,174.7409701667 -36.8493642833,174.7411257667 -36.8493509,174.7412004833 -36.8493445167,174.7412970167 -36.8493362333,174.74143315 -36.8493253333,174.7415730667 -36.8493125167,174.7417110833 -36.8493006667,174.7418283667 -36.8492906,174.7418467667 -36.8492890333,174.7418647333 -36.8492875,174.7419824667 -36.8492774167,174.7423195333 -36.8492485167,174.7423378167 -36.84938495,174.74172605 -36.84943735,174.7415900667 -36.8494490833,174.74145265 -36.8494609167,174.7413153667 -36.8494727333,174.7413024333 -36.8494738667,174.7411513333 -36.8494868,174.7410107 -36.8494988667,174.7410011 -36.8494997167,174.7408658333 -36.8495115167,174.7407392 -36.8495224333,174.7407367667 -36.8495225,174.7406087833 -36.8495335167,174.7404760333 -36.8495448333,174.7403684167 -36.8495540833,174.7403498833 -36.8495557333,174.7402222167 -36.8495668833,174.7401672 -36.8495715167,174.7399505833 -36.8495900167,174.7399218333 -36.8496201333,174.7398939333 -36.8494583167,174.74014455 -36.8494364333,174.74020145 -36.8494313,174.7403327667 -36.8494196333))",5234876,,,Road,Primary,,North Auckland,,,3310
"POLYGON ((174.7402650833 -36.8488615833,174.7402148167 -36.8488657167,174.7400890167 -36.84887605,174.7399303167 -36.84888905,174.73980775 -36.8488992333,174.7397822833 -36.848719,174.7398231333 -36.84871565,174.7407038 -36.84864345,174.7408566167 -36.8486321833,174.7410049167 -36.84861915,174.7411172667 -36.8486099667,174.7412272833 -36.84860195,174.7412710667 -36.84859895,174.7413328 -36.8485946,174.7414309667 -36.8485874333,174.7416030667 -36.8485733167,174.7417023333 -36.8485632667,174.7418248667 -36.8485548,174.7419121333 -36.8485458167,174.7420186333 -36.8485371,174.7420446167 -36.8485349833,174.7420479 -36.8485346833,174.7421568 -36.8485248667,174.7422691 -36.8485156,174.74224505 -36.8486996833,174.7420786333 -36.8487143333,174.7419070333 -36.84872825,174.7417689167 -36.8487388333,174.7416329167 -36.84874995,174.7414886167 -36.84876205,174.7413515667 -36.8487730333,174.7412062 -36.8487846667,174.7411910333 -36.8487859167,174.74105505 -36.848797,174.7408848333 -36.84881085,174.7407296667 -36.84882355,174.7405738667 -36.8488363,174.7404200333 -36.8488489,174.7403178167 -36.8488575,174.7402650833 -36.8488615833))",5216758,,,Road,Primary,,North Auckland,,,4421
"POLYGON ((174.7461669 -36.8485449833,174.7462287833 -36.84846805,174.7463754 -36.8485318333,174.7464872 -36.84858135,174.7465880333 -36.8486247,174.7466925667 -36.8486697667,174.7468028 -36.8487177167,174.7469881833 -36.8487983167,174.7470868 -36.8488411833,174.7472852167 -36.8489274167,174.7474340333 -36.8489921167,174.7474933 -36.84901785,174.74754215 -36.8490391167,174.7473500333 -36.8490587167,174.7469790333 -36.8488974,174.7468580167 -36.8488447833,174.7467620667 -36.84880305,174.7466646167 -36.8487606667,174.7465648333 -36.8487172667,174.7464665667 -36.8486745167,174.7461669 -36.8485449833))",5238034,,,Road,Primary,,North Auckland,,,1273
"POLYGON ((174.7475422167 -36.8490392167,174.7476022667 -36.8491253333,174.7474604667 -36.84913995,174.7473500333 -36.8490587167,174.74754215 -36.8490391167,174.7475422167 -36.8490392167))",5258338,,,Road,Primary,,North Auckland,,,153
"POLYGON ((174.7478652167 -36.8491039833,174.7476895 -36.8491182167,174.7476022667 -36.8491253333,174.7475422167 -36.8490392167,174.74754215 -36.8490391167,174.7475558833 -36.8490382,174.7477817 -36.8490198833,174.7479114667 -36.84900935,174.74801765 -36.8490007667,174.7483610333 -36.8489729833,174.7483749833 -36.8490632667,174.7480338833 -36.8490907333,174.7478652167 -36.8491039833))",5231634,,,Road,Primary,,North Auckland,,,717
"POLYGON ((174.7483028667 -36.8486012667,174.7484727667 -36.8485842333,174.7485171833 -36.8488691833,174.7485307 -36.8489564667,174.7483610333 -36.8489729833,174.7483452333 -36.8488725333,174.7483028667 -36.8486012667))",5214483,,,Road,Primary,,North Auckland,,,635
