WKT,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface
"LINESTRING (174.736278108721 -36.8691657136299,174.736356812583 -36.8692261019257,174.736590071007 -36.8694045809322,174.73661894808 -36.8694301924441,174.736641385264 -36.8694557295229,174.736659302616 -36.8694819617995,174.736681846819 -36.8695335290741,174.736695342032 -36.8695883049021,174.736704817052 -36.8696389392182,174.736710172761 -36.8696923017272,174.736707660121 -36.8697658891701,174.736697951811 -36.8698284204239,174.736678318721 -36.8698940315236,174.736583592414 -36.8701737786537,174.736446320089 -36.870508467102,174.736315658637 -36.8708134887125)",3261499,DON CROOT STREET,N,DON CROOT STREET,,1824921,2,,,sealed
"LINESTRING (174.737765222782 -36.8688309221396,174.737775868542 -36.8689322508487,174.73775003931 -36.8697161305633,174.737720996602 -36.8706883545704,174.737717048037 -36.8708138279111)",3261500,SCHOOL ROAD,N,SCHOOL ROAD,,1818961,1,,,sealed
"LINESTRING (174.752657601287 -36.8708164164194,174.751878698595 -36.8706453099882,174.750723910604 -36.8703827776341)",3287298,CHARLES STREET,N,CHARLES STREET,,1824659,2,,,sealed
"LINESTRING (174.74933646219 -36.8708143721462,174.74934485438 -36.8708160046216)",100048403,TAWARI STREET,N,TAWARI STREET,,1831464,2,,,sealed
"LINESTRING (174.746440533631 -36.8687460434102,174.74661553754 -36.8688647387899,174.746655483956 -36.8688913090812,174.748067269181 -36.8698303347232,174.748246187861 -36.869949336625,174.748572167761 -36.8701627813076)",3287296,NEW BOND STREET,N,NEW BOND STREET,,1824914,1,,,sealed
"LINESTRING (174.750488430215 -36.8708161572182,174.750517573172 -36.8707346486569,174.750527115119 -36.8707093605829,174.75053841505 -36.8706833372497,174.750546092763 -36.8706672045488,174.750555117643 -36.8706488031463,174.750564828384 -36.8706298301008,174.750590183054 -36.87059123325,174.750692171793 -36.870448954158,174.750709786535 -36.8704175252424,174.750723910604 -36.8703827776341,174.750730388036 -36.8703560853378,174.75073227409 -36.8703452828834,174.750732683683 -36.8703207143284,174.750731567156 -36.870295734714,174.750728794415 -36.8702699033974,174.750720236848 -36.8702212415536,174.750482690582 -36.8689885275685)",100048402,GEORGE STREET,N,GEORGE STREET,,1825025,2,,,sealed
"LINESTRING (174.752701635005 -36.8708164212709,174.752792712348 -36.8705449573614,174.752862659534 -36.8703364749498,174.753011185109 -36.86991944845,174.753210180618 -36.8693532266665)",3215042,DOMINION ROAD,N,DOMINION ROAD,,3021455,4,,,sealed
"LINESTRING (174.787892189592 -36.8600267429563,174.787359186093 -36.8604231750739)",3319796,WHAITI LANE,N,WHAITI LANE,,1824413,1,,,sealed
"LINESTRING (174.786247176777 -36.8603612581734,174.786856892182 -36.8599673197661)",3319795,KENDERDINE LANE,N,KENDERDINE LANE,,1824209,2,,,sealed
"LINESTRING (174.78419666481 -36.8584139300793,174.784717861516 -36.8587276529378,174.785127639116 -36.8589668155381,174.785334453065 -36.8590860573076,174.785768430801 -36.8593354114394,174.78614445737 -36.8595520988738,174.786265339629 -36.859621941943,174.786498563776 -36.8597566923724,174.786720264332 -36.8598844021782,174.786775112928 -36.8599164934885,174.786822879415 -36.8599431020572,174.786856892182 -36.8599673197661,174.786885910426 -36.8599873618509,174.786917330745 -36.860010653191,174.78694952384 -36.8600377455706,174.786999662519 -36.8600806669013,174.787041759608 -36.860120062326,174.787118515344 -36.8601930954734,174.787185063275 -36.8602556075262,174.787266948111 -36.8603349674513,174.787359186093 -36.8604231750739,174.787379039328 -36.8604421606155,174.787488061785 -36.8605459305736,174.787583869558 -36.860638424265,174.787635185841 -36.8606886230454,174.787710615068 -36.8607616748452,174.787783664036 -36.860832361237,174.787898837126 -36.8609435103678,174.788000432454 -36.8610420547485,174.788110520736 -36.8611487437318,174.788126159841 -36.8611642529953,174.788142893034 -36.8611840154395,174.788159677105 -36.8612059123897,174.78817233924 -36.8612220000394,174.788182510026 -36.8612341394547,174.788192401952 -36.8612485598501,174.788202399249 -36.8612669715946,174.788214213973 -36.861294490166,174.788229083957 -36.8613340280923,174.788249735838 -36.8614079047771,174.788266841329 -36.8614863712725,174.788306259538 -36.8616386894398,174.788342015655 -36.8617763843856,174.788386377098 -36.8619555808821,174.788427907187 -36.862120855513,174.788430281053 -36.8621303000753,174.788440555738 -36.8621711897374,174.788472324414 -36.8622945349247,174.788508180682 -36.8624364979382,174.788528685523 -36.86253252629,174.78853273851 -36.8625639544873,174.788534103915 -36.8626082329773,174.788532652359 -36.8626314715333,174.788530205057 -36.8626547250772,174.788521675258 -36.862687677554,174.788511014889 -36.8627147907726,174.788496815399 -36.8627467614007,174.7884612861 -36.8628182811779,174.788377569124 -36.8629881962809,174.788287479728 -36.8631696830863,174.78823406317 -36.8632777914784,174.788217071715 -36.8633121791207,174.78815554393 -36.8634366616016,174.788074633732 -36.8635987953499,174.788066778965 -36.8636121127678,174.788019999783 -36.8636914180232,174.788010792124 -36.8637069350172,174.787985487554 -36.8637495789222,174.787940271051 -36.8638329860632,174.787910889134 -36.8638833308419,174.787889925304 -36.863910065447,174.787872106589 -36.8639292806198,174.787849106578 -36.8639541782799,174.787793947213 -36.8640099809223,174.787730379397 -36.8640755183291,174.787697230451 -36.8641067058768,174.787667921554 -36.8641316975195,174.787640561786 -36.8641547922554,174.787613422038 -36.8641730804363,174.787503837178 -36.8642449136479,174.787445727269 -36.8642829563574)",3236341,BRIGHTON ROAD,N,BRIGHTON ROAD,,1831501,2,,,sealed
